0.0536585,0.0365854,0.0609756,0.0414634,0.0536585,0.0390244,0.0829268,0.134146,0.0292683,0.0365854,0.0756098,0.0609756,0.0634146,0.0878049,0.143902
0.0501193,0.0501193,0.0572792,0.0310263,0.0668258,0.0381862,0.0644391,0.143198,0.0477327,0.0357995,0.0739857,0.0572792,0.0596659,0.097852,0.126492
0.045045,0.0382883,0.0405405,0.036036,0.0653153,0.0315315,0.0765766,0.128378,0.0630631,0.027027,0.0810811,0.0495495,0.0675676,0.0900901,0.15991
0.0447427,0.0447427,0.049217,0.0425056,0.0447427,0.0447427,0.0671141,0.14094,0.0581656,0.0290828,0.0872483,0.0604027,0.0693512,0.0760626,0.14094
0.0423163,0.0311804,0.0556793,0.0489978,0.0534521,0.0489978,0.0690423,0.115813,0.0801782,0.0222717,0.0757238,0.0534521,0.0890869,0.0690423,0.144766
0.0502283,0.0502283,0.0570776,0.0410959,0.043379,0.0365297,0.086758,0.134703,0.0525114,0.0273973,0.0707763,0.0570776,0.086758,0.0844749,0.121005
0.062724,0.0232975,0.0860215,0.0358423,0.046595,0.0483871,0.0734767,0.0860215,0.0663082,0.0555556,0.0752688,0.0752688,0.0716846,0.0806452,0.112903
0.0779896,0.0207972,0.067591,0.0433276,0.0467938,0.0433276,0.0831889,0.114385,0.0537262,0.0554593,0.084922,0.0727903,0.0779896,0.0745234,0.0831889
0.0731261,0.0219378,0.071298,0.0201097,0.0493601,0.0420475,0.0749543,0.106033,0.0767825,0.0566728,0.0767825,0.0859232,0.0822669,0.0658135,0.0968921
0.0699433,0.0321361,0.0718336,0.0302457,0.0453686,0.0491493,0.0888469,0.0964083,0.073724,0.047259,0.0699433,0.0793951,0.0718336,0.0756144,0.0982987
0.0589255,0.0190641,0.0641248,0.034662,0.0519931,0.0519931,0.0814558,0.0935875,0.0762565,0.0450607,0.0987868,0.0710572,0.0710572,0.0641248,0.117851
0.0661323,0.0280561,0.0821643,0.0280561,0.0240481,0.0661323,0.0841683,0.124248,0.0501002,0.0160321,0.0661323,0.0601202,0.0641283,0.102204,0.138277
